Epoch,Train Loss,Train Accuracy,Train F1,Validation Loss,Validation Accuracy,Validation F1,Test Accuracy,Test F1,Best Val Accuracy,Best Val F1,Best Test Accuracy,Best Test F1,Inference Time,Training Time
1,18.1617,0.4083,0.4357,8.7613,0.5924,0.6223,0.5808,0.6116,0.5924,0.6223,0.5808,0.6116,7.19,147.84
2,10.1008,0.6227,0.6398,7.0744,0.6329,0.6512,0.6233,0.6431,0.6329,0.6512,0.6233,0.6431,7.19,148.72
3,8.3112,0.6648,0.6752,5.7922,0.6475,0.654,0.6421,0.6513,0.6475,0.654,0.6421,0.6513,7.21,148.68
4,7.2397,0.6937,0.7021,5.8732,0.6488,0.655,0.6555,0.6613,0.6488,0.655,0.6555,0.6613,7.21,148.43
5,6.2924,0.7161,0.7239,5.4682,0.6536,0.6613,0.6478,0.6546,0.6536,0.6613,0.6555,0.6613,7.21,148.73
6,5.464,0.7402,0.7466,6.1091,0.6519,0.6545,0.6438,0.6472,0.6536,0.6613,0.6555,0.6613,7.22,148.86
7,4.6901,0.7641,0.7692,5.7607,0.656,0.661,0.6508,0.6554,0.6536,0.6613,0.6555,0.6613,7.23,149.11
8,3.8729,0.7888,0.7928,6.9788,0.6394,0.6458,0.6485,0.6561,0.6536,0.6613,0.6555,0.6613,7.22,148.8
9,3.2843,0.8076,0.8107,6.5602,0.6441,0.6476,0.6354,0.6397,0.6536,0.6613,0.6555,0.6613,7.21,148.77
10,2.6188,0.8245,0.8272,7.6155,0.6404,0.646,0.6441,0.6494,0.6536,0.6613,0.6555,0.6613,7.21,148.95
11,1.9756,0.8461,0.8482,7.7966,0.6363,0.6399,0.6304,0.6343,0.6536,0.6613,0.6555,0.6613,7.23,148.35
12,1.4279,0.8671,0.869,7.4958,0.6363,0.6394,0.6441,0.6466,0.6536,0.6613,0.6555,0.6613,7.22,148.8
13,0.8819,0.8844,0.8858,10.7004,0.6296,0.6286,0.623,0.6219,0.6536,0.6613,0.6555,0.6613,7.21,148.63
14,0.4573,0.8988,0.8999,8.0601,0.6286,0.6291,0.6183,0.6212,0.6536,0.6613,0.6555,0.6613,7.22,148.3
15,0.0768,0.911,0.9121,10.4714,0.6329,0.6342,0.634,0.6361,0.6536,0.6613,0.6555,0.6613,7.22,148.31
16,-0.2905,0.9222,0.923,9.036,0.6191,0.6158,0.618,0.6143,0.6536,0.6613,0.6555,0.6613,7.2,148.25
17,-0.6019,0.9316,0.9323,8.627,0.6235,0.6204,0.6139,0.6117,0.6536,0.6613,0.6555,0.6613,7.21,148.5
18,-0.9103,0.9432,0.9436,11.0369,0.6286,0.6296,0.6176,0.6189,0.6536,0.6613,0.6555,0.6613,7.21,148.82
19,-1.1236,0.9482,0.9485,11.68,0.6164,0.6151,0.6046,0.6041,0.6536,0.6613,0.6555,0.6613,7.22,148.57
20,-1.3172,0.9557,0.9559,11.0661,0.6194,0.6169,0.6216,0.6202,0.6536,0.6613,0.6555,0.6613,7.21,148.08
